listing_id,neighbourhood,zipcode,price
5917563,Williamsburg,11211,76
5925550,Park Slope,11217,275
5928616,Downtown Brooklyn,11201,160
5931103,Clinton Hill,11205,259
5932161,Harlem,10030,133
5932543,West Village,10014,300
5934108,Park Slope,11217,150
5935275,Long Island City,11101,80
5936796,Upper East Side,10128,85
5939117,Greenwich Village,10012,395
5941782,Williamsburg,11237,56
5942962,Astoria,11106,55
5943381,Hell's Kitchen,10018,345
5945548,Inwood,10034,155
5946137,Hamilton Heights,10031,100
5949599,Upper West Side,10024,289
5954466,Greenpoint,11222,175
5965198,Kensington,11218,49
5967998,Upper East Side,10028,350
5977676,Upper West Side,10024,225
5990045,Red Hook,11231,400
5990521,Washington Heights,10040,58
5999786,East Harlem,10029,90
6000868,Bedford-Stuyvesant,11216,110
6000898,Upper East Side,10128,1200
6005910,Bedford-Stuyvesant,11216,139
6006711,East Village,10003,250
6015754,Flatbush,11218,31
6018325,Washington Heights,10032,140
6018589,Washington Heights,10032,65
6019386,,10037,75
6019950,Hell's Kitchen,10019,250
6026166,East Village,10003,125
6026467,Flatbush,11226,50
6029156,Hell's Kitchen,10019,200
6029332,Williamsburg,11211,110
6029987,Washington Heights,10032,125
6031895,Times Square/Theatre District,10019,60
6031904,West Village,10014,80
6037761,East Village,10003,163
6038158,Bedford-Stuyvesant,11216,60
6038392,Bedford-Stuyvesant,11216,60
6043199,Bedford-Stuyvesant,11216,60
6043315,Ditmars / Steinway,11105,40
6044964,The Rockaways,11692,150
6045055,Upper East Side,10128,76
6048583,Greenwich Village,10012,120
6054400,Greenpoint,11222,75
6054864,Carroll Gardens,11231,109
6063258,Lower East Side,10002,99
6065778,Windsor Terrace,11215,128
6066563,Soundview,10473,110
6070899,Upper West Side,10023,175
6071456,Crown Heights,11216,150
6077178,Hell's Kitchen,10036,133
6079079,Hillcrest,11432,145
6079197,Upper West Side,10025,45
6082991,Bushwick,11206,39
6085932,Lefferts Garden,11225,80
6087959,Boerum Hill,11217,99
6089007,,10024,102
6091208,Williamsburg,11211,96
6091850,Astoria,11106,80
6092535,Upper West Side,10023,175
6092625,,11215,45
6100514,Hell's Kitchen,10036,200
6101104,Upper East Side,10028,170
6104187,,11216,75
6105140,Bedford-Stuyvesant,11221,76
6106142,Upper East Side,10028,75
6106445,Hell's Kitchen,10019,200
6107289,Greenpoint,11222,350
6108703,Elmhurst,11373,55
6114353,Lower East Side,10002,89
6121300,Greenwich Village,10012,78
6124097,Chelsea,10011,250
6130145,Sunnyside,11104,78
6132230,Soho,10012,150
